TABLE_NAME;LOCAL_FIELD;REMOTE_FIELD;DATA_TYPE;FIELD_LENGTH;ACTIVE;FIELD_DEFINITION;VENDOR_ID;UNIT;TYPE_AGGREGATE;DATE_AGGREGATE
CELLSTS_4G;SERV_ABN_RELR_RFQ_DEN;C1526726689+C1526726691+C1526726693+C1526726695+C1526726697+C1526726699+C1526726701+C1526726703+C1526726688+C1526726690+C1526726692+C1526726694+C1526726696+C1526726698+C1526726700+C1526726702;NUMBER;12;1;L.E-RAB.NormRel.QCI.2+L.E-RAB.NormRel.QCI.3+L.E-RAB.NormRel.QCI.4+L.E-RAB.NormRel.QCI.5+L.E-RAB.NormRel.QCI.6+ L.E-RAB.NormRel.QCI.7+L.E-RAB.NormRel.QCI.8+L.E-RAB.NormRel.QCI.9+L.E-RAB.AbnormRel.QCI.2+L.E-RAB.AbnormRel.QCI.3+L.E-RAB.AbnormRel.QCI.4+L.E-RAB.AbnormRel.QCI.5+L.E-RAB.AbnormRel.QCI.6+L.E-RAB.AbnormRel.QCI.7+L.E-RAB.AbnormRel.QCI.8+L.E-RAB.AbnormRel.QCI.9;6;%;SUM;SUM
CELLSTS_4G;SERV_ABN_RELR_RFQ_NUM;C1526726688+C1526726690+C1526726692+C1526726694+C1526726696+C1526726698+C1526726700+C1526726702;NUMBER;12;1;L.E-RAB.AbnormRel.QCI.2+L.E-RAB.AbnormRel.QCI.3+L.E-RAB.AbnormRel.QCI.4+L.E-RAB.AbnormRel.QCI.5+L.E-RAB.AbnormRel.QCI.6+L.E-RAB.AbnormRel.QCI.7+L.E-RAB.AbnormRel.QCI.8+L.E-RAB.AbnormRel.QCI.9;6;%;SUM;SUM
CELLSTS_4G;L_RRC_CONNREQ_SUCC_MT;C1526728224;NUMBER;12;1;L.RRC.ConnReq.Succ.Mt;6;NULL;SUM;SUM
CELLSTS_4G;LE_RAB_NUM_SYN2_UNSYN;C1526728437;NUMBER;12;1;L.E-RAB.Num.Syn2Unsyn;6;NULL;SUM;SUM
CELLSTS_4G;L_THRP_TIME_DL_RMVLAST_TTI;C1526729015;NUMBER;12;1;L.Thrp.Time.DL.RmvLastTTI;6;NULL;SUM;SUM
CELLSTS_4G;L_THRP_BITS_UE_UL_SMALL_PKT;C1526729415;NUMBER;12;1;L.Thrp.bits.UE.UL.SmallPkt;6;NULL;SUM;SUM
CELLSTS_4G;L_THRP_TIME_UE_UL_RMV_SM_PKT;C1526729416;NUMBER;12;1;L.Thrp.Time.UE.UL.RmvSmallPkt;6;NULL;SUM;SUM
CELLSTS_4G;L_THRP_TIME_CELL_DL_HIGH_PREC;C1526728997;NUMBER;12;1;L.Thrp.Time.Cell.DL.HighPrecision;6;NULL;SUM;SUM
CELLSTS_4G;L_THRP_TIME_CELL_UL_HIGH_PREC;C1526728998;NUMBER;12;1;L.Thrp.Time.Cell.UL.HighPrecision;6;NULL;SUM;SUM
CELLSTS_4G;L_CHMEAS_PRB_DL_AVAIL;C1526728433;NUMBER;12;1;L.ChMeas.PRB.DL.Avail;6;NULL;AVG;AVG
CELLSTS_4G;L_CHMEAS_PRB_UL_AVAIL;C1526728434;NUMBER;12;1;L.ChMeas.PRB.UL.Avail;6;NULL;SUM;SUM
CELLSTS_4G;SERV_ABN_RELR_DEN2;C1526727546+C1526727547+C1526728437;NUMBER;12;1;L.E-RAB.AbnormRel + L.E-RAB.NormRel +  L.E-RAB.Num.Syn2Unsyn;6;NULL;SUM;SUM
